Row	1	2	3	4	5	6	7	8	9	10
1	5259	0	0	0	0	0	0	0	0	24730
2	0	0	2838	992	7522	4167	3989	3510	0	0
3	0	2476	2525	1209	989	4390	4466	286	760	0
4	0	935	839	1041	1401	3020	5779	314	1949	0
5	0	396	853	341	1254	4156	1491	377	2350	0
6	0	421	807	410	3788	5017	2246	2717	2421	0
7	0	0	1313	619	4494	4723	3557	2632	4198	997
8	8454	0	1853	2971	3162	4346	3920	3542	4406	777
9	0	0	0	0	0	0	0	0	0	0
10	0	1798	3152	2754	4221	3124	2987	3356	594	0
11	0	2818	1864	1079	5099	3107	3453	3034	712	0
12	0	697	3055	853	1008	3530	3411	249	533	0
13	0	493	691	1075	1321	2956	4401	465	853	0
14	0	257	930	473	1252	3234	1190	355	1298	743
15	0	0	834	322	2471	3659	1583	1874	1310	663
16	14825	0	738	785	3172	3291	2263	1625	3317	673
17	0	0	0	0	0	0	0	0	0	0
18	0	1519	494	4402	3947	2190	1732	3499	0	0
19	0	2178	1942	3550	3831	2832	2602	2568	609	0
20	0	3362	3098	941	4881	2972	2307	2470	594	0
21	0	822	3354	1225	1497	3694	2881	283	492	0
22	0	467	962	908	1150	3005	3897	462	1178	0
23	0	416	826	293	1332	4098	743	273	877	4372
24	0	0	803	247	3015	4028	1208	1180	1146	2610
25	19857	0	0	0	0	0	0	0	0	2791
