Row	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70
16	856083	3613	75885	20388	58867	26020	9269	33399	159835	73649	249046	11417	97038	41031	134505	72093	79598	59946	448985	55807	443239	5398	32158	17849	116923	58106	48363	49271	555440	71879	795567	30035	59580	19561	39602	19184	23421	20451	187517	27839	974222	3368	46239	20199	39108	65785	98833	56371	47206	51463	230422	3000	10873	19153	50052	50110	35453	26135	49803	10480	478859	1021	34242	8059	111633	22091	9833	41259	663258	34305
17	1661	4046	6475	4069	1778	1880	6566	2364	5198	4238	9588	19027	4270	11413	3754	19540	17834	16838	9303	6077	3501	3835	12282	6496	104330	3747	3701	5936	5775	5934	6079	7198	13076	12969	640	3056	6163	13009	24338	14757	8693	8077	1855	3056	1781	1227	3795	3860	3303	8214	2334	2707	2193	3559	5498	3056	3674	3062	3600	1732	5801	5079	833	2878	5614	7052	12851	11917	4682	3034
18	9086	64405	13839	73666	41589	9292	43607	145970	8019	7914	64147	95124	47987	137776	76746	66002	73347	435665	24709	11423	9635	44852	14268	102035	35165	46660	47956	578368	8059	12718	1242	57334	12033	50686	18017	10301	24169	87064	3887	5578	1621	52153	23460	42577	53581	75205	49932	35805	6363	5605	1531	24388	6658	66578	57938	33320	27166	55167	2296	1470	3149	31807	23431	108155	20177	13668	43540	838592	5560	2184
19	3313	157539	146593	80716	33112	29424	23553	312883	22400	1616	16009	163725	155686	97674	75865	78273	72513	475336	240522	10835	7522	75902	111158	129895	64662	45278	57518	619734	206289	4090	1632	100244	153660	42861	15799	13788	18058	180429	22335	2593	3277	68197	66797	43568	55714	57417	50956	24203	10664	6261	1551	31186	30569	54647	58033	40259	37252	41094	9543	7919	6289	72534	116801	145285	25503	17941	40381	681917	280671	7078
20	10045	180286	190389	21710	40351	25363	23767	100489	22014	4679	12752	227173	166240	48536	98435	102820	94312	391109	244157	11659	7803	212193	120221	15983	98174	53610	54507	630505	210787	8874	718	159031	176480	10498	9404	12251	16874	79366	18661	5587	1244	46856	83144	25737	91540	96967	81204	30527	11789	14689	3316	52746	46751	13037	74441	45213	35850	38581	10434	1544	1770	255646	133159	10801	31580	41914	17798	689426	243280	31042
21	8172	19521	184253	28145	72280	36047	19707	13208	22753	1410	21363	98682	245949	45760	67582	92727	101138	36640	256447	13190	8614	64978	173794	17232	38543	55524	60786	16249	236448	4803	420	16503	141638	32530	25367	32326	107606	11301	19272	6707	1352	15116	101669	26168	27937	100883	95833	15919	9209	7813	2002	8405	53243	17388	20852	56424	45217	5406	7745	4987	7239	65432	223661	12483	40412	19633	20260	10276	285236	10851
22	6648	17461	44063	34147	76257	33210	26186	13948	63934	8687	8041	105996	90431	36435	80929	99034	91325	34244	436971	195419	9009	57604	53971	22864	55979	45142	68374	11153	473094	3519	8387	15987	29428	15438	31429	19510	18751	18499	112792	6525	2426	20815	32309	25663	24144	73985	96659	9540	22351	70567	2789	7621	14574	12310	17414	45493	60823	5756	18105	3397	3457	81873	55710	23980	57520	25243	25339	10011	565688	276
23	5437	22176	47717	47574	56461	31457	13137	9373	42270	262344	7361	64123	120181	14580	94550	99152	88081	66694	305947	413928	10918	57142	85348	18427	90969	62965	20873	22490	487050	170826	12487	13656	24873	12807	19799	9469	11698	10935	122134	104178	934	10927	26440	9527	33846	80122	58114	24007	19829	222342	2111	6000	11668	4662	19685	60224	11550	3635	14721	68794	8312	94665	68299	10380	73493	23230	17648	10155	503738	125840
24	2639	21167	47725	23451	58527	29600	10475	43614	47474	218119	378348	4583	103545	19406	66310	54028	27117	29017	163400	337241	11074	7904	82140	10476	102269	90215	28990	39000	536436	266197	7529	10069	31182	10888	79763	10375	5650	25732	96411	74679	362142	2113	31794	15791	56314	70257	51282	24102	20479	215041	2327	4981	12447	3607	44620	62825	17641	18222	17075	39005	4613	19143	96817	2317	68158	35137	21322	20598	575892	156670
25	991290	12850	30681	14597	13277	11556	6759	879	2200	320022	287692	6585	7582	7965	9074	5631	6020	9921	6586	157625	351520	4146	14550	4947	4870	4378	4499	6447	9085	217332	571649	11973	6668	2846	2539	8014	5770	5946	8567	88332	550746	8304	2856	788	3643	7733	6884	4405	5090	93287	297631	2156	4129	1665	3220	1537	2019	211	4086	42676	594103	2898	4543	4067	22803	4778	7520	1921	514	164819
